role,city,salary_min,salary_max,skills,experience,description,industry,posting_date,month
Data Science Analyst,Hyderabad,24.0,40.0,Cluster analysisdeep learningorchestrationGCPMachine learningProcess qualityData analyticsAWS,16,Cluster analysisdeep learningorchestrationGCPMachine learningProcess qualityData analyticsAWS,IT,2026-02-15,Feb
Senior Data Analyst (Data Science),Other,10.5,17.5,Data ScienceInsightsdataSASArtificial IntelligenceFinanceTableauForecasting,7,Data ScienceInsightsdataSASArtificial IntelligenceFinanceTableauForecasting,IT,2026-02-15,Feb
Data Science Engineer (Python),Other,7.5,12.5,Data analysisdata scienceSASAnalyticalMachine learningInformation managementSQLPython,5,Data analysisdata scienceSASAnalyticalMachine learningInformation managementSQLPython,IT,2026-02-15,Feb
Data Science Intern,Mumbai,19.5,32.5,NLPData SciencePredictive ModelingTeam ManagementPower BiAdvanced AnalyticsStatistical ModelingETL,13,NLPData SciencePredictive ModelingTeam ManagementPower BiAdvanced AnalyticsStatistical ModelingETL,IT,2026-02-15,Feb
DATA SCIENCE INTERN,Noida,9.0,15.0,Statistical programmingCareer developmentQCResourcingSAS RProgrammingMentorManagement,6,Statistical programmingCareer developmentQCResourcingSAS RProgrammingMentorManagement,IT,2026-02-15,Feb
Data Science Engineer,Bangalore,9.0,15.0,Computer scienceComputer visionSANImage processingSOCMachine learningSMSSignal processing,6,Computer scienceComputer visionSANImage processingSOCMachine learningSMSSignal processing,IT,2026-02-15,Feb
Data Science (Generative AI) - Senior Manager - ANI,Bangalore,10.5,17.5,Cloud computingManager Internal AuditBusiness analyticsConsultingMachine learningAgileGap analysisRisk management,7,Cloud computingManager Internal AuditBusiness analyticsConsultingMachine learningAgileGap analysisRisk management,IT,2026-02-15,Feb
Manager - Data Science | Leading Finance Co. | Gurgaon,Delhi,13.5,22.5,Data ScienceData analysisCoreNLPProject managementMySQLOpen sourceSQLPython,9,Data ScienceData analysisCoreNLPProject managementMySQLOpen sourceSQLPython,Finance,2026-02-15,Feb
Intermediate Data Science Specialist,Bangalore,10.5,17.5,Machine LearningPythonSQLDataManagementData ScienceScienceMachine,7,Machine LearningPythonSQLDataManagementData ScienceScienceMachine,IT,2026-02-15,Feb
Head - Data Science & Business Analytics,Noida,9.0,15.0,Regression testingMachine LearningDeep LearningTensorflowSEO testingweb applicationsJiraR,6,Regression testingMachine LearningDeep LearningTensorflowSEO testingweb applicationsJiraR,IT,2026-02-15,Feb
Statistical Data Sciences Lead (IC),Chennai,9.0,15.0,Analytical skillsdeep learningAnalystPublishingArchitecturedata scienceArtificial Intelligencedata visualization,6,Analytical skillsdeep learningAnalystPublishingArchitecturedata scienceArtificial Intelligencedata visualization,IT,2026-02-15,Feb
Sr Research Engineer- Data Science,Bangalore,15.0,25.0,Data managementdata scienceProject managementData analyticsdata visualizationManagementData miningBusiness intelligence,10,Data managementdata scienceProject managementData analyticsdata visualizationManagementData miningBusiness intelligence,IT,2026-02-15,Feb
"Senior Model Governance Analyst, Data Science & Analytics",Pune,7.5,12.5,Data ScienceJavadata managementdatabase programming languagesmathematical computingConfluenceJiraPython,5,Data ScienceJavadata managementdatabase programming languagesmathematical computingConfluenceJiraPython,IT,2026-02-15,Feb
Lead Data Scientist - Data Science,Mumbai,9.0,15.0,regressionrecommendationmachine learning algorithmsAnalyticsPythonRclusteringData,6,regressionrecommendationmachine learning algorithmsAnalyticsPythonRclusteringData,IT,2026-02-15,Feb
Lead Data Scientist / Data Science - Manager | GeakMinds | Chennai,Chennai,4.5,8.0,Data WranglingPandasData AnalysisData VisualizationJupyter NotebookNumpyPythonData,3,Data WranglingPandasData AnalysisData VisualizationJupyter NotebookNumpyPythonData,IT,2026-02-15,Feb
Data Science Professional,Mumbai,7.5,12.5,data scienceproject managementPower BIHIPAATableaumachine learningdata visualization toolsPython,5,data scienceproject managementPower BIHIPAATableaumachine learningdata visualization toolsPython,IT,2026-02-15,Feb
Senior Analyst Data Science,Bangalore,6.0,10.0,Natural Language ProcessingStatistical ModelingMachine LearningData ScienceAdvanced AnalyticsDataScienceProcess,4,Natural Language ProcessingStatistical ModelingMachine LearningData ScienceAdvanced AnalyticsDataScienceProcess,IT,2026-02-15,Feb
"Manager, Data Science",Bangalore,9.0,15.0,Chemicaldata scienceData modelingAnalyticalGenomicsMachine learningCloudData analytics,6,Chemicaldata scienceData modelingAnalyticalGenomicsMachine learningCloudData analytics,IT,2026-02-15,Feb
Healthcare Data Science Engineer,Bangalore,7.5,12.5,Cloud computingOperations researchAnalyticalAgileRisk managementBusiness intelligenceGamingAnalytics,5,Cloud computingOperations researchAnalyticalAgileRisk managementBusiness intelligenceGamingAnalytics,IT,2026-02-15,Feb
Data Science Engineer,Bangalore,7.5,12.5,Analystdata scienceAnalyticalMachine learningProgrammingData analyticsPythonmachine,5,Analystdata scienceAnalyticalMachine learningProgrammingData analyticsPythonmachine,IT,2026-02-15,Feb
Sr. Data Science Engineer,Other,10.5,17.5,Predictive ModelingCustomer AnalyticsMarketing AnalyticsMachine LearningPythonAWSModelingAnalytics,7,Predictive ModelingCustomer AnalyticsMarketing AnalyticsMachine LearningPythonAWSModelingAnalytics,IT,2026-02-15,Feb
Data Science Manager,Bangalore,4.5,8.0,Product managementLinuxdata scienceAnalyticalMachine learningCloudAgileDatabase administration,3,Product managementLinuxdata scienceAnalyticalMachine learningCloudAgileDatabase administration,IT,2026-02-15,Feb
Intermediate Data Science Specialist,Bangalore,7.5,12.5,data scienceUnderwritingFinanceMachine learningAgileManager TechnologyActuarialNatural language processing,5,data scienceUnderwritingFinanceMachine learningAgileManager TechnologyActuarialNatural language processing,IT,2026-02-15,Feb
Deputy Manager/ Assistant Manager - Data Science,Pune,4.0,8.0,ChatGPTMarketing MixAWSPythonSQLGenerative AIArtificial IntelligencePandas,2,ChatGPTMarketing MixAWSPythonSQLGenerative AIArtificial IntelligencePandas,IT,2026-02-15,Feb
"Analytics Analyst, Data Science & Analytics",Pune,7.5,12.5,Business objectsSASProcess improvementXMLJavascriptData collectionManager Quality ControlSPSS,5,Business objectsSASProcess improvementXMLJavascriptData collectionManager Quality ControlSPSS,IT,2026-01-15,Jan
Data Science Analyst,Hyderabad,19.5,32.5,Marketing analyticsdata scienceBfsiSales analyticsSales forecastingHealthcareE-commerceMarketing Analyst,13,Marketing analyticsdata scienceBfsiSales analyticsSales forecastingHealthcareE-commerceMarketing Analyst,IT,2026-02-15,Feb
Senior Manager - Data Science | 6-8 Years| Mumbai,Mumbai,9.0,15.0,Computer scienceAutomationData migrationCodingDebuggingJavascriptSeleniumJIRA,6,Computer scienceAutomationData migrationCodingDebuggingJavascriptSeleniumJIRA,IT,2026-02-15,Feb
Assistant Scientist - Data Science Platform,Gurgaon,9.0,15.0,Text miningCareer developmentCodingAnalyticalMachine learningmodel developmentRisk managementPython,6,Text miningCareer developmentCodingAnalyticalMachine learningmodel developmentRisk managementPython,IT,2026-02-15,Feb
Associate Scientist- Data Science,Gurgaon,16.5,27.5,SASData managementProject managementAnalyticalStrategic planningCustomer retentionMarket researchRecruitment,11,SASData managementProject managementAnalyticalStrategic planningCustomer retentionMarket researchRecruitment,IT,2026-02-15,Feb
Data Science Intern,Pune,13.5,22.5,Data ScienceNatural Language ProcessingNeural NetworksTime SeriesComputer VisionProcessNetworkingScience,9,Data ScienceNatural Language ProcessingNeural NetworksTime SeriesComputer VisionProcessNetworkingScience,IT,2026-02-15,Feb
Data Science Analyst,Bangalore,9.0,15.0,Data analysisBackenddata scienceMachine learningData processingSEOJIRABusiness solutions,6,Data analysisBackenddata scienceMachine learningData processingSEOJIRABusiness solutions,IT,2026-02-15,Feb
Analyst Data Science,Bangalore,9.0,15.0,Data ScienceNatural Language ProcessingMachine LearningDeep LearningPythonRSparkProcess,6,Data ScienceNatural Language ProcessingMachine LearningDeep LearningPythonRSparkProcess,IT,2026-01-15,Jan
Marketing Analyst - Data Science,Bangalore,4.5,8.0,AutomationSemiconductorProject managementRisk assessmentMachine learningData analyticsJSONSQL,3,AutomationSemiconductorProject managementRisk assessmentMachine learningData analyticsJSONSQL,Marketing,2026-02-15,Feb
Data Science (Data Scientist/ Sr.Data Scientist),Bangalore,9.0,15.0,NoSQLdata scienceAgile scrumProject managementMachine learningData analyticsdata visualizationOpen source,6,NoSQLdata scienceAgile scrumProject managementMachine learningData analyticsdata visualizationOpen source,IT,2026-02-15,Feb
Senior Manager - Data Science,Gurgaon,4.5,8.0,Machine Learning AlgorithmsRegression ModelingPython DevelopmentPythonAlgorithmsDataMachine learningMachine,3,Machine Learning AlgorithmsRegression ModelingPython DevelopmentPythonAlgorithmsDataMachine learningMachine,IT,2026-02-15,Feb
Manager - Analytics & Data Science,Pune,18.0,30.0,Predictive ModelingStatistical ModelingMachine LearningPythonFinancial ModellingRLogistic RegressionRisk Analytics,12,Predictive ModelingStatistical ModelingMachine LearningPythonFinancial ModellingRLogistic RegressionRisk Analytics,IT,2026-02-15,Feb
Intern - Data Science,Other,9.0,15.0,Text miningCareer developmentCodingAnalyticalMachine learningmodel developmentRisk managementPython,6,Text miningCareer developmentCodingAnalyticalMachine learningmodel developmentRisk managementPython,IT,2026-02-15,Feb
Data Science Lead,Bangalore,4.0,8.0,pythonnumpymachine learningtensorflowPandasdeep learning frameworksalgorithmsdata analytics,2,pythonnumpymachine learningtensorflowPandasdeep learning frameworksalgorithmsdata analytics,IT,2026-02-15,Feb
Data Science Professional,Mumbai,6.0,10.0,SalesMortgageMISProcess improvementCredit underwritingManagementLegal documentationCredit risk,4,SalesMortgageMISProcess improvementCredit underwritingManagementLegal documentationCredit risk,IT,2026-02-15,Feb
Urgent Opening For Data Science Engineer For Kolkata and Mumbai,Mumbai,6.0,10.0,SalesMortgageMISProcess improvementCredit underwritingManagementLegal documentationCredit risk,4,SalesMortgageMISProcess improvementCredit underwritingManagementLegal documentationCredit risk,IT,2026-02-15,Feb
Data Engineer - Machine Learning/Data Science,Bangalore,6.0,10.0,SalesMortgageMISProcess improvementCredit underwritingManagementLegal documentationCredit risk,4,SalesMortgageMISProcess improvementCredit underwritingManagementLegal documentationCredit risk,IT,2026-02-15,Feb
Lead Data Science Engineer,Bangalore,10.5,17.5,javaSparkPythonKafka,7,javaSparkPythonKafka,IT,2026-02-15,Feb
Senior Analyst- Data Science,Bangalore,9.0,15.0,Computer scienceWealth managementLead Business AnalystMachine learningManager TechnologyStakeholder managementFinancial servicesAnalytics,6,Computer scienceWealth managementLead Business AnalystMachine learningManager TechnologyStakeholder managementFinancial servicesAnalytics,IT,2026-02-15,Feb
Data Scientist Fraud & Credit Risk - Decision Science,Mumbai,10.5,17.5,PysparkBigqueryHDFSDataprocMiopsAirflowVertexPubsub,7,PysparkBigqueryHDFSDataprocMiopsAirflowVertexPubsub,IT,2026-02-15,Feb
Manager - Data Science,Gurgaon,4.5,8.0,Computer scienceData analysisUsageDebuggingSystem programmingData collectionHypothesis Testinghr solutions,3,Computer scienceData analysisUsageDebuggingSystem programmingData collectionHypothesis Testinghr solutions,IT,2026-02-15,Feb
Data Science Engineer,Bangalore,10.5,17.5,Predictive ModelingCustomer AnalyticsMarketing AnalyticsMachine LearningPythonAWSDataSenior,7,Predictive ModelingCustomer AnalyticsMarketing AnalyticsMachine LearningPythonAWSDataSenior,IT,2026-02-15,Feb
Manager - Data Science - Analytics,Other,21.0,35.0,Artificial IntelligenceNatural Language ProcessingMachine LearningDeep LearningInformation Extractionfeature-learning.Market Intelligencesearch,14,Artificial IntelligenceNatural Language ProcessingMachine LearningDeep LearningInformation Extractionfeature-learning.Market Intelligencesearch,IT,2026-02-15,Feb
Manager - Data Science - Analytics,Other,7.5,12.5,Data Science EngineerMachine LearningDeep LearningData SciencePythonPredictive ModelingMachine Learning opsRegression,5,Data Science EngineerMachine LearningDeep LearningData SciencePythonPredictive ModelingMachine Learning opsRegression,IT,2026-02-15,Feb
Manager - Data Science - Analytics,Other,4.0,8.0,Computer visiondata scienceCodingAnalyticalArtificial IntelligenceMachine learningData structuresAnalytics,0,Computer visiondata scienceCodingAnalyticalArtificial IntelligenceMachine learningData structuresAnalytics,IT,2026-02-15,Feb
Data Science Engineer : Bangalore,Bangalore,4.0,8.0,Data analysisData validationExcelData modelingAnalyticalData collectionTIBCOData quality,2,Data analysisData validationExcelData modelingAnalyticalData collectionTIBCOData quality,IT,2026-02-15,Feb
Business Analyst - Data Science,Bangalore,13.5,22.5,Data Scienceoperational supportdata analysisdata managementadvanced excelteam handlingstatistical modelinghardware testing,9,Data Scienceoperational supportdata analysisdata managementadvanced excelteam handlingstatistical modelinghardware testing,IT,2026-02-15,Feb
Data Science and Analytics Technology Lead For Infosys - C2H,Bangalore,16.5,27.5,Data ScienceAnalyticsRPythonScienceDataAssistanceData analytics,11,Data ScienceAnalyticsRPythonScienceDataAssistanceData analytics,IT,2026-02-15,Feb
Data Science/Analyst,Delhi,10.5,17.5,pythondata sciencenginxBertDeep LearningkubernetesfastapiCloud,7,pythondata sciencenginxBertDeep LearningkubernetesfastapiCloud,IT,2026-02-15,Feb
Senior Manager - Data Science | 6-8 Years| Bengaluru/Gurugram,Bangalore,4.0,8.0,Text miningComputer scienceCareer developmentFinanceAnalyticalArtificial IntelligenceMachine learningWellness,1,Text miningComputer scienceCareer developmentFinanceAnalyticalArtificial IntelligenceMachine learningWellness,IT,2026-02-15,Feb
VP - Data Science,Noida,10.5,17.5,UnixAutomationdata scienceLinuxBusiness analysisMachine learningdata visualizationTest cases,7,UnixAutomationdata scienceLinuxBusiness analysisMachine learningdata visualizationTest cases,IT,2026-02-15,Feb
Data Science Engineer | Leading IT Co. | Bangalore,Bangalore,4.0,8.0,Computer scienceTrainingCareer developmentData analysisdata scienceMachine learningPredictive modelingdata visualization,2,Computer scienceTrainingCareer developmentData analysisdata scienceMachine learningPredictive modelingdata visualization,IT,2026-02-15,Feb
Engineer - Data Science (DATA SCIENCE ENGINEER),Bangalore,9.0,15.0,Data ScienceregressionLinear RegressionPythonCustomer Analyticsdata scientistModel BuildingMarketing Analytics,6,Data ScienceregressionLinear RegressionPythonCustomer Analyticsdata scientistModel BuildingMarketing Analytics,IT,2026-02-15,Feb
Data Analyst - Equity Data Science,Mumbai,18.0,30.0,Front endGITNoSQLWeb analyticsRDBMScassandraJSONtest driven development,12,Front endGITNoSQLWeb analyticsRDBMScassandraJSONtest driven development,IT,2026-01-15,Jan
Data Science Application Developer,Mumbai,9.0,15.0,customer analyticsMarketing analyticsdata scienceProcess documentationAnalyticalConsultingMachine learningSilicon,6,customer analyticsMarketing analyticsdata scienceProcess documentationAnalyticalConsultingMachine learningSilicon,IT,2026-02-15,Feb
Assistant Vice President/Vice President - Data Science and Analytics,Mumbai,10.5,17.5,Software DevelopmentData SciencepythonNoSQLGCPHadoopOLAPSpark,7,Software DevelopmentData SciencepythonNoSQLGCPHadoopOLAPSpark,IT,2026-02-15,Feb
Data Science Engineer || 4+ yrs,Bangalore,12.0,20.0,JavascriptingCPythonSQLSemiconductorStatistical analysisDiagnostics,8,JavascriptingCPythonSQLSemiconductorStatistical analysisDiagnostics,IT,2026-02-15,Feb
Analyst-Data Science,Gurgaon,12.0,20.0,Javadata scienceProgrammingSQLPythondata modelingdata sciencescircuit analysis,8,Javadata scienceProgrammingSQLPythondata modelingdata sciencescircuit analysis,IT,2026-02-15,Feb
Intern - Data Science Engineer,Hyderabad,7.5,12.5,HibernateTomcatdata scienceData collectionJDBCbig dataPentahoAnalytics,5,HibernateTomcatdata scienceData collectionJDBCbig dataPentahoAnalytics,IT,2026-02-15,Feb
Data Science Professional,Bangalore,10.5,17.5,Data Sciencedeep learningNLPPower BIpytestData ScientistMachine learningpredictive analytics,7,Data Sciencedeep learningNLPPower BIpytestData ScientistMachine learningpredictive analytics,IT,2026-02-15,Feb
Data Science Trainer,Bangalore,6.0,10.0,Data analysisGITCodingMachine learningPredictive modelingdata visualizationAnalyticsMonitoring,4,Data analysisGITCodingMachine learningPredictive modelingdata visualizationAnalyticsMonitoring,IT,2026-02-15,Feb
Data Scientist - Data Science (Regression),Bangalore,4.5,8.0,Data analysisGITCodingMachine learningPredictive modelingdata visualizationAnalyticsMonitoring,3,Data analysisGITCodingMachine learningPredictive modelingdata visualizationAnalyticsMonitoring,IT,2026-02-15,Feb
Data Science Professional,Bangalore,4.5,8.0,Trainingdeep learningtableaudata scienceCodingAnalyticalMachine learningSubject Matter Expert,3,Trainingdeep learningtableaudata scienceCodingAnalyticalMachine learningSubject Matter Expert,IT,2026-02-15,Feb
Data Scientist - Data Science (Regression),Bangalore,4.0,8.0,Cloud computingData managementData modelingMachine learningBusiness intelligenceData miningInformation technologySQL,0,Cloud computingData managementData modelingMachine learningBusiness intelligenceData miningInformation technologySQL,IT,2026-01-15,Jan
Software Development Engineer III - Data Sciences,Bangalore,12.0,20.0,pythonMachine learningData sciencesqltime seriesstatistical modellingDataData analysis,8,pythonMachine learningData sciencesqltime seriesstatistical modellingDataData analysis,IT,2026-01-15,Jan
Data Science Engineer,Bangalore,15.0,25.0,data scienceCodingConsultingManager Quality ControlRisk managementPortfolio managementAnalyticsSQL,10,data scienceCodingConsultingManager Quality ControlRisk managementPortfolio managementAnalyticsSQL,IT,2026-02-15,Feb
Data Science Engineer,Bangalore,19.5,32.5,Product managementBusiness processERPProduct engineeringCompetitive analysisMachine learningManagement consultingMarket research,13,Product managementBusiness processERPProduct engineeringCompetitive analysisMachine learningManagement consultingMarket research,IT,2026-02-15,Feb
Data Science Engineers,Bangalore,7.5,12.5,Operational excellenceEDCManagement systemsClinical trialsHealthcareDocument managementdata visualizationManagement,5,Operational excellenceEDCManagement systemsClinical trialsHealthcareDocument managementdata visualizationManagement,IT,2026-02-15,Feb
Data Science Intern,Other,7.5,12.5,Computer scienceAutomationData analysisjQuerydata scienceXMLMachine learningJSON,5,Computer scienceAutomationData analysisjQuerydata scienceXMLMachine learningJSON,IT,2026-02-15,Feb
Data Science - Intern,Other,4.0,8.0,C++data scienceMachine learningAgileData processingData qualityData miningSQL,2,C++data scienceMachine learningAgileData processingData qualityData miningSQL,IT,2026-02-15,Feb
Data Science Lead,Bangalore,4.5,8.0,data scienceData modelingArtificial IntelligenceMachine learningData structuresOracleCustomer engagementcisco,3,data scienceData modelingArtificial IntelligenceMachine learningData structuresOracleCustomer engagementcisco,IT,2026-02-15,Feb
Advisory Data Science Manager,Bangalore,9.0,15.0,pythondata scienceTeam ManagementPredictive ModelingArtificial IntelligenceNatural Language ProcessingComputer VisionMachine Learning,6,pythondata scienceTeam ManagementPredictive ModelingArtificial IntelligenceNatural Language ProcessingComputer VisionMachine Learning,IT,2026-01-15,Jan
Advisory Data Science Assistant Manager,Bangalore,7.5,12.5,Supply chainData analysiscustomer analyticsCodingBusiness analyticsAnalyticalMySQLData mining,5,Supply chainData analysiscustomer analyticsCodingBusiness analyticsAnalyticalMySQLData mining,IT,2026-02-15,Feb
MACHINE LEARNING / DATA SCIENCE TRAINER,Bangalore,6.0,10.0,Data analysisdata scienceBusiness analysisDjangoMachine learningApplication developmentData qualityAnalytics,4,Data analysisdata scienceBusiness analysisDjangoMachine learningApplication developmentData qualityAnalytics,IT,2026-02-15,Feb
Junior Software Engineer - Data Science,Mumbai,12.0,20.0,Computer scienceData analysisOperations researchManager Quality AssuranceCodingProject managementMS OfficePowerpoint,8,Computer scienceData analysisOperations researchManager Quality AssuranceCodingProject managementMS OfficePowerpoint,IT,2026-02-15,Feb
Principal Analyst - Data Science,Bangalore,12.0,20.0,DjangoMachine learningHTMLHTTPmicrosoftAnalyticsFinancial servicesSQL,8,DjangoMachine learningHTMLHTTPmicrosoftAnalyticsFinancial servicesSQL,IT,2026-02-15,Feb
Data Science Intern,Delhi,9.0,15.0,Trainingdeep learningdata scienceMachine learningdata visualizationBusiness intelligenceAnalyticsPython,6,Trainingdeep learningdata scienceMachine learningdata visualizationBusiness intelligenceAnalyticsPython,IT,2026-02-15,Feb
"Senior Manager, Data Science",Mumbai,12.0,20.0,PythonData ScienceDataScience,8,PythonData ScienceDataScience,IT,2026-02-15,Feb
Senior Product Manager - Data Science & AI,Pune,16.5,27.5,Data analysisdata scienceTime series analysisPharmaHealthcareDeploymentmodel developmentData processing,11,Data analysisdata scienceTime series analysisPharmaHealthcareDeploymentmodel developmentData processing,IT,2026-02-15,Feb
"Senior Associate, Data Manager, Clinical Data Sciences",Chennai,4.0,8.0,data scienceSenior AnalystAnalyticalProgrammingAnalyticsPythonseniordata,2,data scienceSenior AnalystAnalyticalProgrammingAnalyticsPythonseniordata,IT,2026-02-15,Feb
DATA SCIENCE ENGINEER,Noida,6.0,10.0,Automationdata scienceSenior AnalystData modelingResearchBusiness intelligenceAnalyticsscience,4,Automationdata scienceSenior AnalystData modelingResearchBusiness intelligenceAnalyticsscience,IT,2026-02-15,Feb
Data Science Solution Engineer,Gurgaon,9.0,15.0,data scienceCodingStaffingMachine learningTechnical leadershipmodel developmentResident ExpertStatistics,6,data scienceCodingStaffingMachine learningTechnical leadershipmodel developmentResident ExpertStatistics,IT,2026-02-15,Feb
Data Science Engineer,Delhi,9.0,15.0,Machine LearningPythonSQLScienceManagementMachineData ScienceData,6,Machine LearningPythonSQLScienceManagementMachineData ScienceData,IT,2026-02-15,Feb
Data Science Lead,Gurgaon,7.5,12.5,Supply chainSocial media analyticsMalayalamdata scienceConsultingMachine learningcxoProject delivery,5,Supply chainSocial media analyticsMalayalamdata scienceConsultingMachine learningcxoProject delivery,IT,2026-02-15,Feb
Data Science Team Manager,Gurgaon,7.5,12.5,AnalyticalArtificial IntelligenceMachine learningData collectionHealthcareForecastingMonitoringSQL,5,AnalyticalArtificial IntelligenceMachine learningData collectionHealthcareForecastingMonitoringSQL,IT,2026-02-15,Feb
Data Science Professional,Gurgaon,13.5,22.5,Water treatmentC++data scienceAnalyticalData miningMATLABAnalyticsSQL,9,Water treatmentC++data scienceAnalyticalData miningMATLABAnalyticsSQL,IT,2026-02-15,Feb
Manager - Data Science,Bangalore,7.5,12.5,Cloud computingData analysisTeam managementSASData modelingPHPPerlApache,5,Cloud computingData analysisTeam managementSASData modelingPHPPerlApache,IT,2026-02-15,Feb
